职位,最高薪资,最低薪资,薪资,全职/兼职,经验,学历,省份,城市,区域,经度,纬度,公司,公司领域,公司规模,公司类型,职位标签,职位描述,职位详情页,公司详情页
新能源电机工程师,26000.0,18000.0,1.8-2.6万,全职,无需经验,大专,,上海,,121.484243,31.251581,上海伟豪建设工程,计算机软件,,民营,"无需经验,大专,办公软件,excel,sql,自动化,协调供应商,永磁同步电机,电机测试,电机原理,异步电机,电机系统,新能源,五险一金,员工旅游,绩效奖金,交通补贴,通讯补贴,定期体检","工作内容：
负责研究和开发新能源电机，包括但不限于风力电机、太阳能电机和新能源汽车电机。负责撰写电机研究报告，对电机系统进行优化和改进。
主要职责：
- 新能源电机研发
- 撰写电机研究报告
- 负责电机系统优化和改进
- 与客户保持沟通，并协调供应商
- 参与项目推进，确保项目按时完成
职位要求：
- 专科或以上学历，电机、电力电子或自动化等相关专业
- 熟悉电机类型：异步电机， 永磁同步电机， 行星箱电机等
- 了解 不发生又会如何电机， 熟悉电机原理， 熟练掌握电机测试方法
- 具备良好的学习能力，具备良好的沟通技巧及团队合作精神
- 熟练掌握 SQL，Excel 等办公软件",https://jobs.51job.com/shanghai-jaq/160896163.html?s=sou_sou_soulb&t=0_0&req=359527ae9917139a8baa2a1c7214a07a,https://jobs.51job.com/all/coVDVcPABrBTxWN1M5BWQ.html
视觉算法工程师,25000.0,16000.0,1.6-2.5万·14薪,全职,3年及以上,本科,,上海,,121.414162,31.213952,卓郎智能机械,机械/设备/重工,1000-5000人,民营,"3年及以上,本科,调试,自动化,代码编写,人工智能,图像处理,深度学习,计算机视觉,AGV,算法开发,视觉算法,五险一金,年终奖金,绩效奖金,专业培训,定期体检,餐饮补贴,带薪年假,弹性工作,节日福利,补充医疗保险,周末双休,出差补贴,友好氛围,发展空间","岗位职位：
1、独立负责算法模块的开发（如辅助检测、图像预处理优化），完成代码编写、测试、调试，确保模块能正常集成到项目中。
2、深入目标检测、图像分割等核心算法的原理与实现细节，结合公司业务场景，给出方案。
3、负责算法模型的工程化部署优化，解决部署过程中的性能瓶颈（如速度、内存占用），确保算法能稳定、高效运行在目标设备上。
4、配合产品、测试岗位，完成算法功能测试、性能测试，根据测试反馈迭代优化算法，确保项目满足业务需求。
5、整理算法开发文档、技术总结，分享项目经验与技术要点，协助团队提升整体技术水平；参与新算法、新技术的调研与落地验证。
6、完成公司具体项目：条桶状态视觉检测系统算法开发、自动装车机器人纱袋检测系统算法开发、加捻纱锭视觉检测系统算法开发


任职资格：
（一）学历与专业
1. 本科及以上学历，计算机科学、电子信息工程、自动化、人工智能、图像处理等相关专业；硕士及以上学历优先，有相关领域科研经历（如论文、竞赛获奖）者优先。
2. 具备扎实的专业基础知识，掌握计算机视觉、图像处理、机器学习、深度学习等核心理论，了解视觉算法的基本原理与应用场景。

（二）技能要求
1. 算法能力：熟练掌握至少一种主流视觉算法方向（目标检测、图像分割、图像分类、特征提取、目标跟踪等），能独立设计、开发、优化视觉算法，解决实际业务中的技术难题。
2. 编程能力：精通Python/C++，熟悉OpenCV、PyTorch、TensorFlow等主流视觉库与深度学习框架，具备良好的代码规范和调试能力；了解CUDA编程、GPU加速者优先。
3. 工程能力：具备算法工程化落地经验，能将算法模型转化为可部署的工程代码，熟悉模型量化、剪枝、部署优化等相关技术；有实际视觉项目（如工业检测、自动驾驶、人脸识别等）开发经验者优先。
4. 工具与经验：熟悉常用的数据标注工具、模型训练工具，了解数据预处理、数据增强的常用方法；有Linux开发环境使用经验，能独立完成算法的训练、测试与迭代。

（三）综合素质
1. 具备较强的问题分析与解决能力，逻辑思维清晰，能快速定位算法问题并提出合理的解决方案。
2. 具备良好的沟通协调能力和团队协作精神，能与产品、工程、测试等相关岗位高效配合，推进项目落地。
3. 学习能力强，关注计算机视觉领域的前沿技术（如Transformer、扩散模型在视觉领域的应用），愿意主动探索新技术、新方法。
4. 责任心强，工作认真严谨，具备良好的抗压能力，能按时完成既定的工作任务。

（四）加分项
1. 参与过大型视觉算法项目（如工业视觉检测、自动驾驶感知、智能监控等）的核心开发；
2. 熟悉边缘设备（如FPGA、嵌入式芯片）视觉算法部署者。",https://jobs.51job.com/shanghai-cnq/171485377.html?s=sou_sou_soulb&t=0_0&req=359527ae9917139a8baa2a1c7214a07a,https://jobs.51job.com/all/coVToBYVM3VmkOYwVjUzQ.html
图像算法工程师(J10079),40000.0,25000.0,2.5-4万·14薪,全职,3-4年,硕士,,上海,,121.633023,31.208577,上海精测半导体技术,电子技术/半导体/集成电路,150-500人,民营,"3-4年,硕士,c++,linux,cuda,并行计算,深度学习,算法,图像处理,windows,交通补贴,餐饮补贴,绩效奖金,补充医疗保险,五险一金,免费班车,定期体检","工作职责:
1、	负责图像处理算法的研究和实现。
任职资格:
职位描述：
1、 负责图像处理算法的分析、研究和实现。
 任职要求：
1、计算机、数学、物理或图像处理等相关专业，博士或具有2年以上工作经验的硕士；
2、熟练使用 C/C++，熟悉面向对象编程，拥有良好的编程习惯，熟悉开发环境的搭建；
3、熟悉 Windows、Linux 开发环境；
4、有 Matlab、Python 等编程语言经验者优先；有并行计算经验者特别是 cuda 使用经验者优先；
5、熟悉图像处理算法，了解 opencv、halcon 等常用视觉库的使用；
6、拥有较强的数理基础，对算法有较深的理解，有独立开发或改进算法的能力；
7、有机器学习/深度学习经验者优先；有基于图像的工业检测设备算法开发经验者优先；
8、具备良好的技术英语阅读和书面表达能力； 
9、具备良好的团队合作精神和沟通能力，责任感强，工作认真仔细。",https://jobs.51job.com/shanghai-pdxq/139353701.html?s=sou_sou_soulb&t=0_0&req=359527ae9917139a8baa2a1c7214a07a,https://jobs.51job.com/all/coBmVSN1I1Bj5WNgRnUDI.html
智能制造/精密机械装配工艺工程师,20000.0,15000.0,1.5-2万·15薪,全职,3年及以上,大专,,上海,,121.692663,31.217216,上海芯颐和科技,计算机软件,150-500人,民营,"3年及以上,大专,机械,量具,机械装配,半导体设备,工艺设计,装配图纸,样机装配,作业流程,精密仪器,机械装配图","岗位职责:
1.负责半导体设备的整机装配工艺设计，制定标准化作业流程；
2.根据装配图纸和工艺文件，参与样机装配；
3.参与装配工艺流程讨论，提出装调工装夹具的设计思路；
4.参与零部件的验收；
5.参与系统的集成验收测试。
岗位要求：
1.精密仪器、机械、光学仪器等相关专业，大专或本科学历；
2.3年以上半导体设备或精密机械装配工艺经验，熟悉晶圆制造设备者优先。
3.熟练掌握机械装配的基本技能和技巧；
4.能读懂和正确理解机械装配图的技术要求和技术要点；
5.能熟练使用量具和常用检测设备；
6.为人正直，诚实守信，具有较强的责任心和团队意识。",https://jobs.51job.com/shanghai-pdxq/171049107.html?s=sou_sou_soulb&t=0_0&req=359527ae9917139a8baa2a1c7214a07a,https://jobs.51job.com/all/coB2hWNgNpBzAAZwBhAGI.html
物联网工程师,18000.0,10000.0,1-1.8万,全职,无需经验,本科,,上海,,121.282742,31.126554,江苏恰宜则电气设备,电气/电力/水利,少于50人,民营,"无需经验,本科,计算机,自动化,c++,编程语言,mqtt,物联网平台,coap,物联网技术,物联网系统,电子工程,五险一金,五险,员工旅游,带薪病假,带薪年假,项目奖金,绩效奖金,年终奖金,零食下午茶,包吃","【工作内容】
- 负责物联网系统的设计、开发与集成，推动产品智能化升级；
- 参与物联网平台的搭建与优化，提升设备连接与数据处理效率；
- 协同硬件工程师进行设备通信协议的调试与测试；
- 分析用户需求，提供物联网解决方案并支持项目落地。
【任职要求】
- 本科及以上学历，计算机、电子工程、自动化等相关专业优先；
- 对物联网技术有浓厚兴趣，具备良好的学习能力和团队协作精神；
- 熟悉常见物联网通信协议（如MQTT、CoAP等）及编程语言（如Python、C/C++）；
- 有相关项目经验或实习经历者优先，但不限工作经验。",https://jobs.51job.com/shanghai-sjq/170878210.html?s=sou_sou_soulb&t=0_0&req=359527ae9917139a8baa2a1c7214a07a,https://jobs.51job.com/all/coAGdWMl4_DzNTNwxuXT9Wbw.html
嵌入式单片机软件开发工程师,20000.0,10000.0,1-2万,全职,3-5年,本科,,上海,,121.258065,31.027181,上海松江费加罗电子,电子技术/半导体/集成电路,50-150人,合资,"3-5年,本科,代码编写,电子,软件开发,五险一金,年终奖金,定期体检,生日福利,周末双休,节日福利,标准工时制,提供工作餐,住房补贴","1、负责单片机（MCU）软件设计相关文档和代码编写；
2、编写项目的生产测试文档；
3、跟进并解决产品存在的问题；

要求：
1、本科以上学历，计算机、软件工程、电子类相关专业；具有相关行业电子产品MCU软件开发三年以上经验。
2、熟悉常用8位、32位微处理器；熟悉蓝牙，以太网能通信模块的使用；
3、熟悉RS485,RS232、SPI、I2C等接口协议，熟悉TCP/IP、UDP、MQTT、HTTP等网络协议；
4、具有基本的硬件电路知识，能够识别相关电路原理图，熟练使用示波器、万用表等调试仪器；
5、严谨规范的技术文档编写能力和良好的代码编写习惯；
6、责任心强，善于学习总结，有强烈的学习上进心，有良好的团队合作精神和沟通协调能力；",https://jobs.51job.com/shanghai/136392005.html?s=sou_sou_soulb&t=0_0&req=359527ae9917139a8baa2a1c7214a07a,https://jobs.51job.com/all/coA2dcOARgBDwBZ1M4VDQ.html
销售经理（电池测试机）,20000.0,15000.0,1.5-2万,全职,3年及以上,大专,,,,0.0,0.0,上海沙洲人力资源,计算机软件,,合资,"3年及以上,大专,销售,电子,机械,销售计划,市场推广,开发新客户,客户关系维护,收集市场信息,业务开拓,培训","岗位职责：
1、负责电池测试机产品的市场推广与销售工作；
2、开发新客户，维护现有客户关系，提升客户满意度与复购率；
3、收集市场信息，分析竞争对手动态，制定销售计划；
4、配合技术团队为客户提供专业的产品解决方案。
任职要求：
1、大专及以上学历，市场营销、机械、电子等相关专业优先；
2、具备优秀的业务开拓能力和销售技巧，有测试机销售经验者优先；
3、良好的沟通表达能力和客户关系维护能力，能独立开展工作，承受一定的工作压力；
4、工作认真负责，具备较强的学习能力和团队合作精神；",https://jobs.51job.com/all/170950633.html?s=sou_sou_soulb&t=0_0&req=359527ae9917139a8baa2a1c7214a07a,https://jobs.51job.com/all/coBWpRN1E3UWkOaVczVTE.html
视觉应用工程师,18000.0,10000.0,1-1.8万·13薪,全职,3年及以上,本科,,上海,,121.215266,30.99186,上海晓域电子科技,仪器仪表/工业自动化,少于50人,民营,"3年及以上,本科,计算机,测试,自动化,方案设计,软件系统,图像处理,相机,视觉检测,镜头,前期评估","【工作内容】
1、负责视觉系统的方案设计，相机、光源、镜头、线缆等硬件选型
2、软件系统与图像算法的集成、设计和开发，项目前期评估
3、给出合理的视觉检测方案，对样机进行测试、编写算法并进行Demo验证
4、严格执行项目的进度要求和质量要求，准时、优质的完成相关工作
5、向上级主管汇报项目进展情况

【任职要求】
- 本科（全日制）及以上学历，计算机、电子工程、自动化等相关专业；
- 熟悉图像处理相关算法，如目标检测、图像识别等；
- 具备良好的逻辑思维能力和问题解决能力；
- 对新技术有较强的学习兴趣和适应能力，能够接受挑战；
- 有相关项目经验者优先。",https://jobs.51job.com/shanghai-sjq/168017228.html?s=sou_sou_soulb&t=0_0&req=359527ae9917139a8baa2a1c7214a07a,https://jobs.51job.com/all/coUTMGZV41BjEGY1c8UTA.html
5G创新应用中心-技术支持（教育方向）,,,17-28万/年,全职,1-3年,本科,,上海,,121.428239,31.203603,东方有线网络,通信/电信运营、增值服务,1000-5000人,国企,"1-3年,本科,大数据,教育行业,产品规划,教育软件,五险一金,定期体检,专业培训,绩效奖金,节日福利,补充公积金,培训,商业保险","岗位职责：
1、教育软件产品规划与落地：
1）负责K12教育相关软件产品(如智能教学、作业管理、学生成长评估、家校互动等)的规划与设计，确保产品符合集团教学场景需求，并具备对外销售的商业价值。
2）研究教育行业趋势和政策，分析竞品，提炼差异化优势，制定产品发展路线图，结合人工智能、大数据、教育测评等前沿技术，推动教育产品的智能化升级。
2、教育产品标准化与商业化：
1）负责教育产品的标准化建设，推动形成可复制、可推广的产品方案，以适应集团外部市场需求。
2）根据教育行业发展战略，开展场景化解决方案设计，符合教育实际业务发展要求，具备应用性；方案包含技术、应用、成效等元素，具备较好落地性和前瞻性；
3、技术理解力与创新能力：
1）具备一定的技术背景，能与研发团队高效沟通，了解AI大数据、SaaS等技术在教育行业的应用趋势。
2）具备商业化思维，能推动产品标准化，并拓展外部市场，实现产品的商业化价值。
3）具备较强的用户思维，关注用户体验和满意度，不断提升产品价值。

任职资格：
1、教育背景和相关工作经历：
有成功的教育软件产品标准化、商业化经验，熟悉SaaS产品设计和运营。
有集团型教育机构、政府教育部门、教育科技公司、知名在线教育公司的产品经验。
了解教育行业政策、国家教育信息化发展规划、智慧校园建设标准。
具备Al+教育、大数据+教育、知识图谱、智能评测、生成式AI等技术应用经验。
2、工作经验和技能技巧：
本科及以上学历，计算机、软件工程、师范教育类相关专业优先。
1-3年以上行业信息化方案咨询工作经验优先。
熟悉政府项目基本流程及运作模式，能够有效推进项目进展。
具备良好的解决方案、客户报告、商务分析等文稿的写作能力，以及较好的结构化思维、沟通表达、观察洞悉能力。
具备教育行业方案汇报能力以及项目申报经验。
熟悉上海市教育信息化市场现状和发展趋势，对教学业务和教育技术有一定的认识和理解。
3、职业道德和心理素质：
具有良好的团队合作能力、学习能力，能够不断提高自身的修养和技能。
能够设定明确的销售目标，并采取有效的行动来实现这些目标；能够自我驱动，持续学习新的技术和市场动态，以保持竞争力。
工作积极主动，有创业精神，具有很强的开拓意识，抗压能力强，追求高目标。",https://jobs.51job.com/shanghai-cnq/169259651.html?s=sou_sou_soulb&t=0_0&req=359527ae9917139a8baa2a1c7214a07a,https://jobs.51job.com/all/coBGACY186AjpVMQZt.html
设备管理员,,,10-18万/年,全职,10年及以上,大专,,上海,,121.21523,31.18138,均瑶润盈生物科技（上海）,快速消费品(食品、饮料、化妆品),150-500人,民营,"10年及以上,大专,计算机,安全检查,电气自动化,保养计划,维护保养计划,低压,维修记录,高压操作证,操作证,机电一体化,五险一金,定期体检,带薪年假,周末双休","岗位职责：
1）建立和维护设备档案，包括设备的技术资料、维修记录、保养计划等。
2）确保设备档案的完整性和准确性，以便随时查阅和管理。
3）制定设备的维护保养计划，并组织实施。
4）制定设备安全操作规程，并监督操作人员执行。
5）定期对设备进行安全检查，确保设备的安全运行。
6）设备出现故障需及时维修，有自动化设备维护保养经验
7）有自动化设备改造经验，能给出准确有效的改造意见。

基本要求：
1）有一定的PLC编程修改等能力
2）大专以上学历
3）机电一体化/电气自动化等相关专业
4）具有高压操作证、低压操作证、特种设备管理员证
5）熟练的计算机能力
6）10年以上工作经验",https://jobs.51job.com/shanghai-qpq/166639538.html?s=sou_sou_soulb&t=0_0&req=359527ae9917139a8baa2a1c7214a07a,https://jobs.51job.com/all/coAGRVMVc1UmsEaQVkBmQ.html
桌面运维工程师,7000.0,5000.0,5-7千,全职,1年及以上,大专,,上海,,121.512124,31.315288,上海桢隆智能科技,计算机软件,少于50人,民营,"1年及以上,大专,计算机,操作系统,设备维护,故障处理,打印机,三甲医院,办公设备维护,it运维,会议系统,安装调试维修,五险一金","岗位职责：
1，操作系统：熟练掌握Windows安装配置和故障处理。
2，设备维护：包括PC、打印机、会议系统，模拟护理呼叫系统等设备的安装调试维修。
3，沟通能力：需快速响应用户需求，具备客户服务意识。
4，团队协作：能配合团队完成项目，有责任心。
5，经验门槛：要求1-3工作经验。

任职要求：
1，专科及以上学历。
2，1年及以上IT运维经验，三甲医院相关经历优先。
3，掌握计算机及办公设备维护方法，能快速排查故障。
4，掌握模拟护理呼叫设备维护方法，能快速排查故障。",https://jobs.51job.com/shanghai-ypq/170593068.html?s=sou_sou_soulb&t=0_0&req=359527ae9917139a8baa2a1c7214a07a,https://jobs.51job.com/all/coVjMHYlU1BD4EaAVgUD0.html
机器视觉工程师,24000.0,12000.0,1.2-2.4万,全职,3年及以上,本科,,上海,,121.712796,31.247987,上海酷聚科技,电子技术/半导体/集成电路,50-150人,合资,"3年及以上,本科,计算机,自动化,项目开发,技术交流,现场调试,光学,二次开发,人工智能,深度学习,可行性评估,培训,五险一金,补充医疗保险,补充公积金,带薪病假,股票期权,年终奖金,有餐补,定期体检,免费班车,带薪年假","岗位职责：
1、负责视觉检测方案的制定和可行性评估，配合业务人员与客户沟通方案，售前的技术交流;
2、负责视觉硬件的选型以及成本评估，包括相机、镜头、光源、工控机、编码器等;
3、能使用公司的产品进行项目可行性的快速评估，输出测试报告和可行性方案;
4、能使用公司的产品进行视觉应用的二次开发，及公司已有视觉系统的升级;
5、负责客户现场视觉系统的调试、视觉应用的技术支持及现场培训;
6、完成上级安排的其他工作。


任职要求：
1、计算机、自动化、光学、人工智能或相关专业，本科及以上学历，机器视觉行业3年以上工作经历，熟悉深度学习缺陷检测以及线扫&amp;图像采集。
2、基础光学理论知识扎实，精通相机、镜头、光源的选型应用，对优化图像效果有丰富的经验，能够独立设计、搭建光学系统;
3、熟悉基本的机器视觉处理算法或深度学习算法，掌握至少一种商用视觉算法软件(海康等);
4、学习能力强，工作积极主动，有较强的独立思考能力和分析解决问题能力，能独立负责项目开发;
5、良好的沟通能力及团队合作精神，可与客户详尽沟通分析需求，能够适应出差和现场调试。",https://jobs.51job.com/shanghai-pdxq/165412465.html?s=sou_sou_soulb&t=0_0&req=359527ae9917139a8baa2a1c7214a07a,https://jobs.51job.com/all/coVTVVNFY9UmsPa1c9Vzc.html
维修技术员-机械（乐园运维）,13000.0,9000.0,,全职,2年及以上,,,上海,,121.707774,31.202329,上海国际主题乐园,娱乐/休闲/体育,10000人以上,合资,"2年及以上,机械,维修,消防,安装,保养,安全,压力容器,空调,阀门,弹性工作,带薪年假,五险一金,节日福利,专业培训,培训,节假日","【职位描述】
设施运营服务部欢迎你
 迪士尼的经典传承在这里展现得淋漓尽致，关注工作中的细节，用点点滴滴的细心雕琢，做出一件件激动人心的作品。无论你是在游乐设施、中央工场、设施服务部或园艺团队，你都有机会成为乐园里的”手艺人”，和一群具有匠心精神的演职人员伙伴共事，不断交流学习与成长，钻研每一个技术或工艺细节，让神奇真实发生。

职位介绍：
 作为维修技术员-机械，您的主要职责是安装、维修、维护乐园范围内的机械管道的设备和系统，包括且不限于机械、管道、空调、机械、厨房、水处理、自动门、电梯、闸机和消防等专业。

工作内容：
· 高度重视安全，并身体力行。
· 确保所负责范围内的资产安全可靠，保证演出布景质量。
· 进行机械系统的安装，维修和保养工作。包括且不限于各类泵，电机，控制器，固定装置，管道，阀门，配件，过滤器，砂滤器，热水器，饮水机，洗眼器，锅炉，压力容器，排水管和下水道系统，空调、厨房、自动门、水处理、电梯和喷雾装置等。
· 使用手和电动或焊接工具安装，拆卸或拆卸上面列出的物品。涉及手和手臂的动作，如握力，抬高腰部以上，站立，弯曲和弯腰，能搬动设备到合适位置供维护检查。推/拉的设备不超过50磅（约22.7公斤），搬举的工具和设备不超过50磅（约22.7公斤），能携带配件和工具爬楼梯/梯子。需在恶劣天气在室内外工作，无论班次。需频繁使用重5到50磅（约2.3—22.7公斤）的电动/手动工具。
· 能对上述系统进行操作和功能检查，包括泵和马达，砂滤器，化学注射器，喷泉和水效果的启动和操作，取水样并进行化学测试和读数。执行气体，压缩空气和热/冷/饮用水阀的打开/关闭，且必须能够遵循检查清单或标准操作程序。
· 能够识别和评估各机械管道系统和设备的功能和正确操作，以查明和评估故障或故障的原因。阅读并理解与系统和设备的设计和构造/安装相关的蓝图/原理图，规范和其他技术出版物。
· 使用CMMS系统（MAXIMO）管理工作量。包括被要求参加合规和其他相关培训并通过考核，确保文件的正确维护。能使用计算机。能明确工作职责，确定所需配件/材料。
· 完成上级安排的其他任务。

我们希望您：
· 良好的手工作业经验与技能。
· 熟悉安全挂牌标识流程与程序。
· 有机械管道维护行业的工作经验，了解设备维护工作流程、技能、工具、设备等。
· 有2年以上在机械管道维护领域的相关工作经验。
· 具有良好的沟通能力，善于团队合作。
· 能在倒班制的所有时段（即三班中的任意一班）、周末及节假日工作。
· 具备标准流利的普通话沟通能力和良好的中文书面表达能力。",https://jobs.51job.com/shanghai-pdxq/170703952.html?s=sou_sou_soulb&t=0_0&req=359527ae9917139a8baa2a1c7214a07a,https://jobs.51job.com/all/coVDBWO1QzAzRWMgRiVDE.html
技术支持/维护工程师,17000.0,9000.0,9千-1.7万·13薪,全职,无需经验,大专,,上海,,121.506893,31.240885,上海玄运科技,计算机软件,,民营,"无需经验,大专,计算机,调试,通信,设备安装,故障排查,技术支持维护,计算机硬件,电子工程,网络信息,硬件维护,五险一金,年终奖金,绩效奖金,定期体检,专业培训,餐饮补贴,员工旅游,通讯补贴,交通补贴,补充医疗保险,带薪年假,节日福利,周末双休,弹性工作,做五休二","不接受2026届毕业生，需为2025年以前毕业
【工作内容】
- 协助公司产品及系统的日常技术支持与维护工作，确保系统稳定运行；
- 处理客户在使用过程中遇到的技术问题，提供及时有效的解决方案；
- 协助完成设备安装、调试及故障排查工作；

【任职要求】
- 本科学历，计算机、电子工程、通信等相关专业优先，大专学历看个人情况；
- 对计算机硬件、网络及操作系统有基本了解，具备良好的学习能力；
- 具备良好的沟通能力和客户服务意识，能耐心解答用户问题；",https://jobs.51job.com/shanghai-pdxq/167704220.html?s=sou_sou_soulb&t=0_0&req=359527ae9917139a8baa2a1c7214a07a,https://jobs.51job.com/all/coAm0FYVMyVGwAbVE6XTs.html
等保咨询师/测评师,8000.0,6000.0,6-8千,全职,1年,本科,,上海,,121.587324,31.191541,上海鹏越惊虹信息技术发展,计算机软件,50-150人,民营,"1年,本科,五险一金,通讯补贴,专业培训,绩效奖金,年终奖金","岗位职责：
1、协助公司销售人员完成信息安全等级保护、信息安全咨询、信息安全风险评估等项目的技术支持工作；
2、根据客户需求设计解决方案，按照文档规范整理编写技术支持文档，为相关人员提供等级保护、信息安全风险评估介绍和培训等；
3、负责等保测评项目、信息安全风险评估项目的招投标和项目实施工作，包括标书设计、投标应答、讲解与答疑；
4、跟踪最新信息安全产品知识和技术，对于重点行业客户信息安全建设体系模式进行深入了解；为内部销售人员进行技术培训；、

任职要求：
1、计算机、通信相关专业本科以上学历；
2、一年以上信息安全产品、信息安全咨询、系统集成等领域的售前技术支持经验；
3、具有良好的客户服务观念、工作责任心及团队合作精神；具有良好的沟通及表达能力；
4、熟悉主流网络设备、安全设备、操作系统、数据库的安装及调试；熟悉防火墙、VPN、CA、入侵检测、网络攻击、系统加固、黑客攻防等安全技术；熟悉国内外网络、安全界发展现状；了解各类网络、安全产品、各主流厂家产品的技术优劣势；、
5、熟悉信息安全等级保护、ISO信息安全体系、ITIL等相关标准、法律法规，并持有相关资格证书者优先；
6、持有网络技术、网络安全及系统集成方面的资格证书者优先。",https://jobs.51job.com/shanghai-pdxq/97919850.html?s=sou_sou_soulb&t=0_0&req=359527ae9917139a8baa2a1c7214a07a,https://jobs.51job.com/all/coAWRVMFMxBTsHYFA7.html
数据分析师,18000.0,12000.0,1.2-1.8万,全职,1年及以上,本科,,上海,,121.481756,31.288978,上海恒动泰久机械科技,机械/设备/重工,少于50人,民营,"1年及以上,本科,计算机,java,数据分析,excel,sql,市场调研,项目开发,数学,统计分析,编程语言,五险一金,绩效奖金,年终奖金,定期体检,专业培训,餐饮补贴,员工旅游,带薪年假,周末双休,弹性工作,交通补贴,通讯补贴,全勤奖,定期团建,培训","【工作内容】
- 对公司业务情况及销售数据进行处理流程；
- 运用统计分析工具（如Python/R/SQL）对海量数据进行建模分析，挖掘关键指标及趋势规律；
- 协同产品、运营团队完成用户行为分析、市场调研等专项项目；
- 持续优化数据分析模型，提升数据驱动效率与准确性。

【任职要求】
- 本科及以上学历，机器人、人工智能、计算机或相关专业优先；
- 熟练掌握Excel函数公式及基础数据透视表操作；
- 具备1年以上数据分析经验者优先，优秀应届毕业生可放宽条件；
- 熟悉SQL数据库查询语言，能独立完成数据提取与清洗；
- 掌握至少一种编程语言（Python/R/Java），有实际项目开发经验者加分；
- 具备良好的逻辑思维能力与沟通表达能力，能将复杂数据转化为商业洞察；
- 对数据敏感度高，具备较强的学习能力和抗压能力。",https://jobs.51job.com/shanghai/170996588.html?s=sou_sou_soulb&t=0_0&req=359527ae9917139a8baa2a1c7214a07a,https://jobs.51job.com/all/coBWJTNwVkU2wCZwRmVzoEPA.html
销售经理（机房、数据中心产品）,10000.0,6000.0,6千-1万,全职,2年,大专,,上海,,121.514653,31.101922,上海黎耀科技发展,计算机硬件,150-500人,民营,"2年,大专,销售,制冷,ups,机房,动环监控,微模块,空调,暖通,营销,机电,五险一金,弹性工作,节日福利,专业培训,年终奖金,氛围轻松","1、负责上海区域的精密空调、微模块、 UPS电源、动环监控等产品销售任务，收集市场和行业信息；
2、负责销售区域内销售活动的策划和执行，完成销售指标；
3、维护及增进已有客户关系，开拓新市场，发展新客户，增加产品销售范围；
4、负责渠道客户的拓展及维护。
任职要求：
1、制冷、暖通、机电、营销等相关专业大专及以上学历，年龄45岁以内；
2、具2年以上空调、电源行业销售工作经验，熟悉上海区域渠道客户，能独立参加设备投标工作；
3、对市场营销有较深刻认识，具良好的市场判断能力和开拓能力；良好的客户关系管理能力，较强挫折承受力；
4、有精密空调、 ups 等机房相关产品厂商工作经验者优先。",https://jobs.51job.com/shanghai-mhq/147492674.html?s=sou_sou_soulb&t=0_0&req=359527ae9917139a8baa2a1c7214a07a,https://jobs.51job.com/all/coAWJQM1E6VG0GYQNkUzU.html
民机网络安保设计师(J10080),30000.0,20000.0,2-3万,全职,5年及以上,本科,,上海,,121.406527,31.053862,上海民用航空电子系统,航天/航空,150-500人,国企,"5年及以上,本科,民航,航空电子,网络安全,信息安全,五险一金,补充医疗保险,补充公积金,带薪病假,带薪年假,年终奖金,专业培训,定期体检,有餐补,交通补贴","工作职责:
1.负责民机机载信息/维护系统网络安保设计研制，负责系统网络安保需求变更、架构维护、接口确认等，参与网络安保风险评估及策略制定；
2.负责机载航电系统网络安保防护策略制定、安保场景识别、安保渗透测试等至少一个方向的专业发展规划；
3.参与下一代机载航电系统网络安保相关产品分析、需求定义与确认、架构设计权衡、接口定义及配置、运行场景分析等等；
4.负责协同主机网络安保团队，与供应商沟通协调相关设备研制要求；
5.参与网络安保专业体系建设、研制保障条件建设等。
任职资格:
1.学历要求：全日制本科及以上学历；
2.专业要求：计算机网络/信息安全/航空电子/电子信息工程等相关专业；
3.工作经验：
①5年以上网络安全相关工作经验，或2年以上机载网络安全从业经验；
②熟悉网络安全防护体系，了解基础架构、分析方法、防护策略，熟悉民航、网络安保相关标准（DO-326A、DO-356A）者优先；
③熟悉常见的机载操作系统（如Linux、天脉等）；
4.能力要求：
①具有较强的问题分析能力，逻辑思维清晰，执行力强；
②有责任心，对民用航空事业有热情，具有良好的团队沟通协作能力、语言表达能力及积极的工作态度；
③有ISO21434等相关标准全流程落地实践经验者优先。",https://jobs.51job.com/shanghai-mhq/171207019.html?s=sou_sou_soulb&t=0_0&req=359527ae9917139a8baa2a1c7214a07a,https://jobs.51job.com/all/coBGoFYl89DzZVMgxrAGM.html
